NOMBRE_PRESTADOR,NOMBRE_USUARIO,TIPO,APELLIDO_USUARIO,USUARIO,MAIL_USUARIO,TELEFONO_USUARIO
Autoridad de Transporte Urbano,joselinCondori,Organismo de control,chau,joselinCondori,joselin@mail.com,josjos1234
Inspección de Movilidad Sostenible,juanvazquez,Organismo de control,chau,juanvazquez,joselin@mail.com,josjos1234
Comisión de Seguridad Vial,francoP,Organismo de control,chau,francoP,joselin@mail.com,josjos1234
Consejo Nacional de Transporte Público,carolina,Organismo de control,chau,carolina,joselin@mail.com,josjos1234
Inspección de Transporte de Pasajeros,urielSoifer,Organismo de control,chau,urielSoifer,joselin@mail.com,josjos1234
Autoridad de Tránsito,ezequielEscobar,Organismo de control,chau,ezequielEscobar,joselin@mail.com,josjos1234
omisión de Control de Transporte,ezequielSosa,Organismo de control,chau,ezequielSosa,joselin@mail.com,josjos1234
Inspección de Transporte,lucasSaclier,Organismo de control,chau,lucasSaclier,joselin@mail.com,josjos1234
Dirección de Transporte Urbano,joselin123,Organismo de control,chau,joselin123,joselin@mail.com,josjos1234
Agencia Reguladora de Transporte Público,juan456,Organismo de control,chau,juan456,joselin@mail.com,josjos1234
Inspección de Servicios de Autobuses Urbanos,franfran,Organismo de control,chau,franfran,joselin@mail.com,josjos1234
Administración Nacional de Transporte Público,carocaro,Organismo de control,chau,carocaro,joselin@mail.com,josjos1234
Agencia de Control de Transporte Público Municipal,magali123,Organismo de control,chau,magali123,joselin@mail.com,josjos1234
Dirección de Movilidad Urbana,ezequiel111,Organismo de control,chau,ezequiel111,joselin@mail.com,josjos1234
Consejo Regulador de Transporte Colectivo,joselin,Organismo de control,chau,juanMartin,joselin@mail.com,josjos1234
